dpi_true_id,school_name,X,Y,geometry
3619_0122,Curtin Elementary,-87.95448311499996,42.98206178800007,"c(-87.954483115, 42.9820617880001)"
3619_0125,Doerfler Elementary,-87.95170923599994,43.01906339400006,"c(-87.9517092359999, 43.0190633940001)"
3619_0143,Eighty-First Street Elementary,-88.01365505099994,43.07276471500006,"c(-88.0136550509999, 43.0727647150001)"
3619_0148,Elm Creative Arts Elementary,-87.92303178099996,43.05258526100005,"c(-87.923031781, 43.052585261)"
3619_0150,Emerson Elementary,-88.02549389999996,43.097906333000026,"c(-88.0254939, 43.097906333)"
3619_0152,Engleburg Elementary,-88.02593225899994,43.110762358000045,"c(-88.0259322589999, 43.110762358)"
3619_0155,Fairview Elementary,-87.99400805399995,42.990530284000045,"c(-87.9940080539999, 42.990530284)"
3619_0158,Fernwood Montessori,-87.87946604899997,42.98554769400005,"c(-87.879466049, 42.985547694)"
3619_0170,Fifty-Third Street Elementary,-87.97966972599994,43.08365874400005,"c(-87.9796697259999, 43.083658744)"
3619_0173,Forest Home Elementary,-87.93147946999994,43.01019213400008,"c(-87.9314794699999, 43.0101921340001)"
3619_0179,Franklin Elementary,-87.94121376999999,43.084630797000045,"c(-87.94121377, 43.084630797)"
3619_0182,Fratney Elementary,-87.90141427499998,43.07755840500005,"c(-87.901414275, 43.077558405)"
3619_0185,Gaenslen Elementary,-87.89547559799996,43.074706467000055,"c(-87.895475598, 43.0747064670001)"
3619_0191,Garland Elementary,-87.95397444399998,42.939747140000065,"c(-87.953974444, 42.9397471400001)"
3619_0176,Golda Meir School,-87.91430726099998,43.05146567500003,"c(-87.914307261, 43.051465675)"
3619_0192,Goodrich Elementary,-88.03718324399995,43.167239764000044,"c(-88.0371832439999, 43.167239764)"
3619_0193,Grant Elementary,-87.95081772899994,43.00491228300007,"c(-87.9508177289999, 43.0049122830001)"
3619_0115,Grant Gordon Learning Center,-87.92306207399997,43.062150434000046,"c(-87.923062074, 43.062150434)"
3619_0196,Grantosa Drive Elementary,-88.01356716999999,43.10642691800007,"c(-88.01356717, 43.1064269180001)"
3619_0454,Green Tree Preparatory Academy,-87.97807076199996,43.141950448000046,"c(-87.978070762, 43.141950448)"
3619_0202,Greenfield Bilingual,-87.95765011499998,43.01218268500003,"c(-87.957650115, 43.012182685)"
3619_0236,Groppi High,-87.94775523299995,43.04745447700003,"c(-87.947755233, 43.047454477)"
3619_0018,Hamilton High,-87.99085633299995,42.97912126400007,"c(-87.990856333, 42.9791212640001)"
3619_0205,Hampton Elementary,-87.97883074299995,43.10864732300007,"c(-87.9788307429999, 43.1086473230001)"
3619_0208,Hartford Avenue Elementary,-87.88215547099998,43.077646334000065,"c(-87.882155471, 43.0776463340001)"
3619_0211,Hawley Environmental School,-87.98314543599997,43.03879704800005,"c(-87.983145436, 43.038797048)"
3619_0212,Hawthorne Elementary,-87.96315371199995,43.14374066100004,"c(-87.963153712, 43.143740661)"
3619_0214,Hayes Bilingual School,-87.92361047699995,43.00861459300006,"c(-87.923610477, 43.0086145930001)"
3619_0217,Hi-Mount Elementary,-87.97506355899998,43.05926376100007,"c(-87.975063559, 43.0592637610001)"
3619_0218,Holmes Elementary,-87.90658863999994,43.06317825900004,"c(-87.9065886399999, 43.063178259)"
3619_0334,Honey Creek Elementary,-87.99684499799997,42.98009433900006,"c(-87.996844998, 42.9800943390001)"
3619_0253,Hopkins Lloyd Community School,-87.93187178999995,43.07140891600005,"c(-87.9318717899999, 43.0714089160001)"
3619_0223,Humboldt Park Elementary,-87.90288880699995,42.98589461200004,"c(-87.902888807, 42.985894612)"
3619_0165,IDEAL Individualized Developmental Educational Approaches to Learning,-87.93126397999998,42.93934434500005,"c(-87.93126398, 42.9393443450001)"
3619_0377,Jackson Elementary,-87.93901834199994,43.069635436000056,"c(-87.9390183419999, 43.0696354360001)"
3619_0409,James Madison Academic Campus,-88.01256896599995,43.12684224100008,"c(-88.0125689659999, 43.1268422410001)"
3619_0232,Kagel Elementary,-87.92705607099998,43.02114725700005,"c(-87.927056071, 43.0211472570001)"
3619_0235,Keefe Avenue Elementary,-87.93128496099996,43.08175059700005,"c(-87.931284961, 43.0817505970001)"
3619_0237,Kilbourn Elementary,-87.99620385399999,43.11514296300004,"c(-87.996203854, 43.115142963)"
3619_0020,King International,-87.93253109799997,43.09390047200003,"c(-87.932531098, 43.093900472)"
3619_0210,King International Baccalaureate Middle,-87.91067046099994,43.06934490900005,"c(-87.9106704609999, 43.0693449090001)"
3619_0199,King Jr Elementary,-87.91390607399995,43.077671879000036,"c(-87.913906074, 43.077671879)"
3619_0337,Kluge Elementary,-87.99470860999998,43.12239238600006,"c(-87.99470861, 43.1223923860001)"
3619_0238,LaFollette Elementary,-87.92248050099994,43.07741857600007,"c(-87.9224805009999, 43.0774185760001)"
3619_0241,Lancaster Elementary,-87.99617168199995,43.107748627000035,"c(-87.996171682, 43.107748627)"
3619_0250,Lincoln Avenue Elementary,-87.93583244799999,43.00296546800007,"c(-87.935832448, 43.0029654680001)"
3619_0006,Lincoln Middle,-87.90191811899996,43.04692854900003,"c(-87.901918119, 43.046928549)"
3619_0256,Longfellow Elementary,-87.93948114099999,43.020798497000044,"c(-87.939481141, 43.020798497)"
3619_0257,Lowell International Elementary,-87.93892937499999,42.96553998700006,"c(-87.938929375, 42.9655399870001)"
3619_0870,MacDowell Montessori School K3-12,-87.99240916399998,43.03390192000006,"c(-87.992409164, 43.0339019200001)"
3619_0265,Manitoba Elementary,-87.96502555599994,42.990865935000045,"c(-87.9650255559999, 42.990865935)"
3619_0267,Maple Tree Elementary,-88.04520540599998,43.13824078500005,"c(-88.045205406, 43.1382407850001)"
3619_0008,Marshall High,-87.99201050299996,43.09260898400004,"c(-87.992010503, 43.092608984)"
3619_0268,Maryland Montessori,-87.88304388599994,43.06430334100003,"c(-87.8830438859999, 43.064303341)"
3619_0525,Metcalfe Elementary,-87.95643398499999,43.06061699600008,"c(-87.956433985, 43.0606169960001)"
3619_0103,Milwaukee Academy of Chinese Language,-87.94359675299995,43.038693487000046,"c(-87.943596753, 43.038693487)"
3619_0315,Milwaukee County Youth Education Center,-87.92303545699997,43.04269293500005,"c(-87.923035457, 43.042692935)"
3619_0140,Milwaukee French Immersion,-87.97873098699995,43.061758987000076,"c(-87.9787309869999, 43.0617589870001)"
3619_0146,Milwaukee German Immersion,-88.01502637799996,43.08574859600003,"c(-88.015026378, 43.085748596)"
3619_0038,Milwaukee High School of the Arts,-87.94165510999994,43.04434449200005,"c(-87.9416551099999, 43.0443444920001)"
3619_0362,Milwaukee Parkside School,-87.90435543399997,42.990803791000076,"c(-87.904355434, 42.9908037910001)"
3619_0071,Milwaukee School of Languages,-88.01756665199997,43.07520759200003,"c(-88.017566652, 43.075207592)"
3619_0226,Milwaukee Sign Language Elementary,-88.00894724899996,43.13780997600003,"c(-88.008947249, 43.137809976)"
3619_0167,Milwaukee Spanish Immersion,-87.98270322599996,42.994501470000046,"c(-87.982703226, 42.99450147)"
3619_0274,Mitchell Elementary,-87.94229162599999,43.012058393000075,"c(-87.942291626, 43.0120583930001)"
3619_0277,Morgandale Elementary,-87.93512763099994,42.97872984000003,"c(-87.9351276309999, 42.97872984)"
3619_0052,Morse Mid,-88.01056100999995,43.13948368400003,"c(-88.0105610099999, 43.139483684)"
3619_0283,Neeskara Elementary,-87.98254194499998,43.05148539600003,"c(-87.982541945, 43.051485396)"
3619_0289,Ninety-Fifth Street Elementary,-88.02995733599994,43.083956373000035,"c(-88.0299573359999, 43.083956373)"
3619_0419,North Division High,-87.92427964999996,43.067624755000054,"c(-87.92427965, 43.0676247550001)"
3619_0840,Obama School of Career and Technical Education,-87.96645521699998,43.10943236600008,"c(-87.966455217, 43.1094323660001)"
3619_0301,Parkview Elementary,-88.04765270899998,43.112111017000075,"c(-88.047652709, 43.1121110170001)"
3619_0325,Pratt Elementary,-87.93281713199997,43.11047715600006,"c(-87.932817132, 43.1104771560001)"
3619_0458,Project STAY-Supporting Teachers and Youth,-87.92184456499996,43.03765681500005,"c(-87.921844565, 43.037656815)"
3619_0026,Pulaski High,-87.94515242099999,42.98851851200004,"c(-87.945152421, 42.988518512)"
3619_0435,Reagan College Preparatory High,-87.93904163299999,42.95468265400007,"c(-87.939041633, 42.9546826540001)"
3619_0313,Riley Dual Language Montessori School,-87.91550927599997,43.00137367000008,"c(-87.915509276, 43.0013736700001)"
3619_0194,River Trail Elementary,-88.06137111699996,43.12638407400004,"c(-88.061371117, 43.126384074)"
3619_0029,Riverside High,-87.89106035099996,43.07105921100003,"c(-87.891060351, 43.071059211)"
3619_0307,Riverwest Elementary,-87.90156234199998,43.06864263700004,"c(-87.901562342, 43.068642637)"
